,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
42,Phyllis' Wedding,7,"The time has come: Phyllis Lapin is finally getting married. At the ceremony, Dwight vows to protect the celebration from any wedding crashers, while Pam begins reminiscing about her own wedding plans. Meanwhile, Phyllis herself regrets giving her fianc??e, Bob Vance, an important job that was actually meant for Michael.","[946, 881, 1657, 759, 199, 66, 30, 11, 20, 71]",8.2,982,8,1508,8.1,4640,7.8,12,8.1,1021,8.1,1412,8,447,8.1,2641,8,8,8.1,873,8.1,1208,7.9,346,8.3,433,8.5,2,8.4,128,8.1,188,8.6,96,"['nbc', 'wedding', 'husband wife relationship']"
43,Business School,12,"When asked by Ryan to be a guest speaker at his business school, Michael is honored and is very excited about it. But while there, a very rude remark about Dunder Mifflin makes Michael mad and he takes it out on the class and Ryan. Meanwhile Dwight finds a bat in the office and tries to solve the problem all while Jim tricks Dwight into thinking he is turning into a vampire.","[1906, 1740, 1067, 363, 104, 34, 9, 6, 13, 145]",8.9,1105,8.7,1681,8.8,5387,9.1,15,8.9,1179,8.7,1585,8.5,488,8.8,2975,9.2,10,8.9,999,8.7,1346,8.5,379,8.8,513,9,2,9,155,8.7,222,9,104,[]
44,Cocktails,4,"Michael, Dwight, Jim, Karen, and Jan all go to the Dunder Mifflin CFO's party. While there, Michael and Jan make their relationship public. Meanwhile, the rest of the office goes to Poor Richard's. Pam wants to start a fresh and new relationship with Roy, but when he finds out about Pam and Jim's kiss, he gets very aggressive.","[1012, 1247, 1489, 532, 151, 37, 10, 6, 17, 77]",8.5,999,8.2,1499,8.4,4578,8.2,13,8.4,1027,8.3,1431,8.2,421,8.3,2642,8.5,9,8.4,881,8.3,1222,8.1,329,8.3,427,8.5,2,8.5,125,8.1,193,8.6,89,[]
45,The Negotiation,9,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself.","[1985, 1781, 914, 278, 86, 20, 9, 6, 15, 149]",8.9,1078,8.8,1650,8.9,5243,8.8,14,9,1160,8.9,1542,8.7,477,8.9,2924,9,10,9,985,8.9,1319,8.6,371,8.8,481,9,1,8.9,152,8.7,203,9,102,"['reference to star wars', 'wikipedia', 'pay raise']"
46,Safety Training,5,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace.","[1517, 1560, 1122, 385, 132, 34, 16, 8, 18, 85]",8.7,1043,8.5,1558,8.7,4877,8.6,14,8.7,1087,8.6,1478,8.3,443,8.6,2754,9,10,8.7,919,8.6,1256,8.3,342,8.5,476,9,2,8.6,145,8.4,209,8.6,98,[]
47,Product Recall,5,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend.","[1384, 1471, 1177, 460, 130, 51, 8, 6, 11, 106]",8.7,1035,8.4,1557,8.6,4804,8.6,13,8.6,1068,8.5,1478,8.3,449,8.6,2719,8.8,9,8.6,901,8.6,1248,8.3,350,8.5,485,7.5,2,8.6,148,8.3,217,8.6,95,"['girl', 'reference to battlestar galactica']"
48,Women's Appreciation,4,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan.","[1486, 1604, 1127, 343, 118, 28, 9, 10, 9, 140]",8.8,998,8.6,1566,8.7,4874,9,14,8.8,1104,8.7,1455,8.3,424,8.7,2728,9,10,8.8,936,8.7,1239,8.3,331,8.7,461,9,1,8.8,143,8.6,203,8.7,88,[]
49,Beach Games,5,"Michael is being considered for a position in corporate, but also plans a day of ""Survivor"" like competitions while the office workers visit Lake Scranton. Pam is not asked to join in on any of the competitions and is forced to sit and watch Jim and Karen have fun.","[2587, 1677, 816, 252, 83, 29, 7, 3, 9, 176]",9.1,1135,8.9,1731,9.1,5639,9.3,15,9.2,1236,8.9,1638,8.7,479,9,3052,9.5,10,9.2,1034,8.9,1383,8.6,371,9.1,553,9.5,2,9.2,179,9,239,9.1,105,"['reference to harry potter', 'singing']"
50,The Job,11,"Michael, Jim, and Karen all go to the New York Dunder Mifflin building to have an interview with David Wallace about getting a job at corporate. But when Jan finds out the job they are applying for is her job, she gets furious. Meanwhile down at the Scranton office, since Michael was sure of getting the job, he assigned Dwight as the new manager which Pam decides to take advantage as Dwight does his new duties.","[3229, 1598, 637, 209, 62, 21, 8, 3, 12, 175]",9.3,1218,9.1,1840,9.2,5954,9.4,15,9.4,1287,9.2,1803,8.9,495,9.2,3248,9.5,10,9.4,1088,9.2,1511,8.8,381,9.2,587,9.5,2,9.3,171,9.1,272,9,111,['manager']
51,Fun Run,7,"The run for the cure-special one-hour premiere - A freak accident causes Michael to feel the office is cursed. He explores the religious beliefs of his employees before deciding to hold a charity 5K fun run. Meanwhile, further developments in the romances of Pam and Jim, and Dwight and Angela are explored.","[1935, 1665, 1124, 391, 137, 53, 16, 4, 14, 127]",8.8,1237,8.5,1658,8.7,5466,9,16,8.8,1168,8.6,1697,8.4,480,8.6,3020,9,11,8.8,980,8.6,1414,8.4,378,8.7,561,8.5,2,8.9,159,8.6,268,8.7,98,"['reference to pamela anderson', 'reference to the simpsons']"
52,Dunder Mifflin Infinity,6,"There's a new boss in town - Much to the dismay of Michael and many of the employees, Ryan return to the Scranton branch of Dunder Mifflin to bring the company into the digital age. Angela is still upset about her cat.","[942, 946, 1689, 625, 189, 45, 16, 2, 7, 61]",8.3,968,8,1483,8.2,4522,8.1,13,8.2,1006,8.1,1424,8,405,8.1,2597,8.1,9,8.2,857,8.1,1206,8,318,8.2,435,9,2,8.2,127,8,200,8.5,84,"['reference to red bull', 'pizza', 'sushi', 'reference to vince vaughn']"
53,Launch Party,6,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day.","[996, 1071, 1531, 517, 170, 40, 14, 4, 4, 61]",8.4,934,8.2,1460,8.3,4408,8.4,13,8.4,989,8.2,1370,8.1,394,8.3,2538,8.5,9,8.4,848,8.3,1168,8.1,310,8.3,408,9,2,8.4,121,8,186,8.5,82,"['nbc', 'boyfriend girlfriend relationship', 'pizza', 'reference to apple', 'reference to dr. seuss']"
54,Money,6,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast.","[1368, 1490, 1173, 421, 138, 37, 20, 2, 5, 75]",8.7,981,8.4,1545,8.6,4729,8.8,13,8.7,1054,8.5,1452,8.3,414,8.5,2687,8.8,9,8.7,894,8.5,1239,8.3,332,8.5,434,9,2,8.8,136,8.3,197,8.6,80,"['nbc', 'boyfriend girlfriend kiss', 'boyfriend girlfriend relationship', 'reference to tripadvisor', 'reference to harry potter']"
55,Local Ad,7,"THE WONDERFUL WORLD OF ADVERTISING - When the Scranton branch is asked to participate in a Dunder Mifflin ad, Michael seizes his chance to exhibit his creativity. Meanwhile, Dwight explores the online world of Second Life.","[1510, 1572, 1121, 380, 98, 37, 11, 2, 8, 121]",8.7,993,8.6,1561,8.7,4860,8.9,14,8.8,1086,8.6,1472,8.4,426,8.7,2718,9,9,8.8,907,8.6,1251,8.4,338,8.6,471,8.5,2,8.8,154,8.5,205,8.6,86,"['commercial', 'boyfriend girlfriend relationship', 'tv commercial', 'pub']"
56,Branch Wars,3,"When Michael finds out that Karen, now the regional manager at the Dunder Mifflin Utica branch, is taking Stanley, he devises a plan to take Dwight and trick Jim into driving to the Utica branch and dressing up as warehouse workers to steal their industrial machine. Meanwhile back at the office, Pam, Oscar, and Toby created the Finer Things Club which is a book club, which Andy and others want to access to.","[1090, 1218, 1383, 521, 143, 46, 11, 6, 4, 66]",8.4,930,8.2,1475,8.4,4488,8.6,13,8.4,1017,8.2,1356,8.1,398,8.3,2561,8.9,9,8.4,860,8.3,1169,8.1,319,8.2,402,9,2,8.3,134,8,171,8.4,77,"['boyfriend girlfriend relationship', 'reference to utica new york', 'reference to scranton pennslyvania', 'prank', 'book club', '5 more']"
